system:index,doa,mean_std,stats_percentile,.geo
S1B_IW_GRDH_1SDV_20190129T062319_20190129T062344_014705_01B6A2_9FC4,20190129,"{VV_mean=-13.933449691654527, VV_stdDev=6.211643357762052, VH_mean=-23.1091524928513, VH_stdDev=8.949906270090073}","{VV_p2=-23.722975310029145, VV_p98=-5.267147159811063, VH_p2=-38.236271917056165, VH_p98=-12.772584062241483}",
S1A_IW_GRDH_1SDV_20190204T062349_20190204T062414_025776_02DDCC_7639,20190235,"{VV_mean=-12.73426127872765, VV_stdDev=3.4695120743819365, VH_mean=-23.546904004264764, VH_stdDev=6.379641791113673}","{VV_p2=-17.72864487122814, VV_p98=-5.769178328252317, VH_p2=-31.731506861411656, VH_p98=-12.27231664363654}",
S1A_IW_GRDH_1SDV_20190204T062414_20190204T062439_025776_02DDCC_5B1A,20190235,"{VV_mean=-13.366318149490263, VV_stdDev=3.396851289093423, VH_mean=-24.24053902675496, VH_stdDev=6.238119685444915}","{VV_p2=-18.226664334798524, VV_p98=-6.2691941450510855, VH_p2=-31.726425275958253, VH_p98=-12.76860282544883}",
S1B_IW_GRDH_1SDV_20190210T062319_20190210T062344_014880_01BC5F_3C7D,20190241,"{VV_mean=-9.892959971934424, VV_stdDev=2.489581161611858, VH_mean=-20.62583804933567, VH_stdDev=6.7723412702509815}","{VV_p2=-15.74392872410349, VV_p98=-5.269062012919653, VH_p2=-32.73916946822295, VH_p98=-12.272456668176552}",
S1A_IW_GRDH_1SDV_20190216T062349_20190216T062414_025951_02E3FB_E7E0,20190247,"{VV_mean=-17.000876373595336, VV_stdDev=6.009870121815385, VH_mean=-26.933765255643724, VH_stdDev=8.397486454175917}","{VV_p2=-25.73004604290774, VV_p98=-6.769693883243688, VH_p2=-37.73360915005829, VH_p98=-12.769139407917324}",
S1A_IW_GRDH_1SDV_20190216T062414_20190216T062439_025951_02E3FB_1A8D,20190247,"{VV_mean=-19.407213046588833, VV_stdDev=7.426907709140431, VH_mean=-27.699827425535005, VH_stdDev=8.529929970827144}","{VV_p2=-32.24175533898798, VV_p98=-6.771367291907202, VH_p2=-38.73551982614328, VH_p98=-12.770969391466071}",
S1B_IW_GRDH_1SDV_20190222T062319_20190222T062344_015055_01C217_A24B,20190253,"{VV_mean=-13.704345474759466, VV_stdDev=5.291564914458406, VH_mean=-23.556373069572782, VH_stdDev=8.51566405094985}","{VV_p2=-24.738468454961883, VV_p98=-6.270738912098414, VH_p2=-37.73660053930464, VH_p98=-13.2710895967488}",
S1A_IW_GRDH_1SDV_20190228T062349_20190228T062414_026126_02EA39_CBB8,20190259,"{VV_mean=-13.216763076729201, VV_stdDev=3.1639052858797023, VH_mean=-25.79341294481666, VH_stdDev=7.193810467497288}","{VV_p2=-18.22335972138605, VV_p98=-6.772159251540728, VH_p2=-34.73143794067015, VH_p98=-13.265840595162945}",
S1A_IW_GRDH_1SDV_20190228T062414_20190228T062439_026126_02EA39_7736,20190259,"{VV_mean=-13.171550958700763, VV_stdDev=2.809269057504523, VH_mean=-26.42133295735363, VH_stdDev=7.218347531411295}","{VV_p2=-17.725683733900173, VV_p98=-7.272684213997649, VH_p2=-35.23272062191151, VH_p98=-13.266255248962503}",
S1B_IW_GRDH_1SDV_20190306T062318_20190306T062343_015230_01C7E1_5DC3,20190365,"{VV_mean=-13.044755619354614, VV_stdDev=5.146134526205154, VH_mean=-22.41568916367591, VH_stdDev=8.527022438363664}","{VV_p2=-21.22295988568639, VV_p98=-5.26897123621516, VH_p2=-36.23510992445027, VH_p98=-12.27451507584955}",
S1A_IW_GRDH_1SDV_20190312T062349_20190312T062414_026301_02F096_F6D6,20190371,"{VV_mean=-12.903873073789132, VV_stdDev=3.0382322117830047, VH_mean=-24.101242014336187, VH_stdDev=6.0694309091804115}","{VV_p2=-17.726353077274226, VV_p98=-6.771054668803902, VH_p2=-32.231812589066294, VH_p98=-13.264639157945219}",
